state,candidate,party,votes
Georgia,Biden,DEM,31243
Georgia,Trump,REP,13012
Georgia,Jorgensen,LIB,430
Georgia,Trump,REP,1800
Georgia,Biden,DEM,462
Georgia,Jorgensen,LIB,13
Georgia,Trump,REP,3915
Georgia,Biden,DEM,2661
Georgia,Jorgensen,LIB,51
Georgia,Trump,REP,2607
Georgia,Biden,DEM,1251
Georgia,Jorgensen,LIB,19
Georgia,Trump,REP,18057
Georgia,Biden,DEM,11784
Georgia,Jorgensen,LIB,275
Georgia,Trump,REP,9368
Georgia,Biden,DEM,2385
Georgia,Jorgensen,LIB,132
Georgia,Biden,DEM,1182
Georgia,Trump,REP,801
Georgia,Jorgensen,LIB,7
Georgia,Biden,DEM,6318
Georgia,Trump,REP,5732
Georgia,Jorgensen,LIB,100
Georgia,Biden,DEM,2113
Georgia,Trump,REP,1390
Georgia,Jorgensen,LIB,16
Georgia,Biden,DEM,561
Georgia,Trump,REP,360
Georgia,Jorgensen,LIB,7
Georgia,Trump,REP,6048
Georgia,Biden,DEM,2059
Georgia,Jorgensen,LIB,68
Georgia,Trump,REP,2418
Georgia,Biden,DEM,1387
Georgia,Jorgensen,LIB,34
Georgia,Trump,REP,2822
Georgia,Biden,DEM,1480
Georgia,Jorgensen,LIB,21
Georgia,Biden,DEM,2376
Georgia,Trump,REP,2004
Georgia,Jorgensen,LIB,36
Georgia,Trump,REP,12954
Georgia,Biden,DEM,8708
Georgia,Jorgensen,LIB,191
Georgia,Trump,REP,10784
Georgia,Biden,DEM,5322
Georgia,Jorgensen,LIB,177
Georgia,Trump,REP,7872
Georgia,Biden,DEM,2939
Georgia,Jorgensen,LIB,103
Georgia,Trump,REP,6384
Georgia,Biden,DEM,1550
Georgia,Jorgensen,LIB,45
Georgia,Trump,REP,2101
Georgia,Biden,DEM,952
Georgia,Jorgensen,LIB,24
Georgia,Trump,REP,18146
Georgia,Biden,DEM,11585
Georgia,Jorgensen,LIB,328
Georgia,Trump,REP,2349
Georgia,Biden,DEM,1410
Georgia,Jorgensen,LIB,33
Georgia,Trump,REP,2368
Georgia,Biden,DEM,2040
Georgia,Jorgensen,LIB,30
Georgia,Trump,REP,12651
Georgia,Biden,DEM,2801
Georgia,Jorgensen,LIB,108
Georgia,Trump,REP,8602
Georgia,Biden,DEM,4201
Georgia,Jorgensen,LIB,96
Georgia,Trump,REP,23174
Georgia,Biden,DEM,5769
Georgia,Jorgensen,LIB,411
Georgia,Trump,REP,37617
Georgia,Biden,DEM,12634
Georgia,Jorgensen,LIB,561
Georgia,Trump,REP,9930
Georgia,Biden,DEM,4249
Georgia,Jorgensen,LIB,117
Georgia,Biden,DEM,1488
Georgia,Trump,REP,1177
Georgia,Jorgensen,LIB,16
Georgia,Biden,DEM,4730
Georgia,Trump,REP,4663
Georgia,Jorgensen,LIB,66
Georgia,Trump,REP,9987
Georgia,Biden,DEM,2687
Georgia,Jorgensen,LIB,104
Georgia,Trump,REP,748
Georgia,Biden,DEM,639
Georgia,Jorgensen,LIB,3
Georgia,Trump,REP,1583
Georgia,Biden,DEM,688
Georgia,Jorgensen,LIB,13
Georgia,Trump,REP,12222
Georgia,Biden,DEM,2411
Georgia,Jorgensen,LIB,183
Georgia,Trump,REP,25636
Georgia,Biden,DEM,10670
Georgia,Jorgensen,LIB,440
Georgia,Trump,REP,2403
Georgia,Biden,DEM,862
Georgia,Jorgensen,LIB,16
Georgia,Trump,REP,2823
Georgia,Biden,DEM,2159
Georgia,Jorgensen,LIB,47
Georgia,Trump,REP,2664
Georgia,Biden,DEM,2075
Georgia,Jorgensen,LIB,31
Georgia,Trump,REP,6826
Georgia,Biden,DEM,2395
Georgia,Jorgensen,LIB,60
Hawaii,Biden,DEM,58683
Hawaii,Trump,REP,26851
Hawaii,Jorgensen,LIB,1026
Hawaii,Hawkins,GRN,802
Hawaii,Blankenship,CST,134
Hawaii,Biden,DEM,238601
Hawaii,Trump,REP,136061
Hawaii,Jorgensen,LIB,3424
Hawaii,Hawkins,GRN,2173
Hawaii,Blankenship,CST,629
Hawaii,Biden,DEM,21217
Hawaii,Trump,REP,11579
Hawaii,Jorgensen,LIB,303
Hawaii,Hawkins,GRN,254
Hawaii,Blankenship,CST,56
Hawaii,Biden,DEM,47301
Hawaii,Trump,REP,22111
Hawaii,Jorgensen,LIB,772
Hawaii,Hawkins,GRN,585
Hawaii,Blankenship,CST,111
Idaho,Trump,REP,130699
Idaho,Biden,DEM,120539
Idaho,Jorgensen,LIB,5310
Idaho,Kanye West,IND,1172
Idaho,Blankenship,CST,438
Idaho,Fuente,ALI,356
Idaho,Trump,REP,1941
Idaho,Biden,DEM,591
Idaho,Jorgensen,LIB,34
Idaho,Blankenship,CST,6
Idaho,Kanye West,IND,5
Idaho,Fuente,ALI,3
Idaho,Trump,REP,23331
Idaho,Biden,DEM,14682
Idaho,Jorgensen,LIB,947
Idaho,Kanye West,IND,205
Idaho,Fuente,ALI,89
Idaho,Blankenship,CST,87
Idaho,Trump,REP,2814
Idaho,Biden,DEM,350
Idaho,Jorgensen,LIB,25
Idaho,Kanye West,IND,11
Idaho,Blankenship,CST,8
Idaho,Fuente,ALI,4
Idaho,Trump,REP,3878
Idaho,Biden,DEM,977
Idaho,Jorgensen,LIB,58
Idaho,Kanye West,IND,27
Idaho,Blankenship,CST,9
Idaho,Fuente,ALI,6
Idaho,Trump,REP,15295
Idaho,Biden,DEM,4124
Idaho,Jorgensen,LIB,307
Idaho,Kanye West,IND,100
Idaho,Blankenship,CST,56
Idaho,Fuente,ALI,49
Idaho,Biden,DEM,8919
Idaho,Trump,REP,4031
Idaho,Jorgensen,LIB,168
Idaho,Kanye West,IND,53
Idaho,Blankenship,CST,47
Idaho,Fuente,ALI,34
Idaho,Trump,REP,3495
Idaho,Biden,DEM,1214
Idaho,Jorgensen,LIB,67
Idaho,Kanye West,IND,30
Idaho,Blankenship,CST,12
Idaho,Fuente,ALI,7
Idaho,Trump,REP,18369
Idaho,Biden,DEM,8310
Idaho,Jorgensen,LIB,401
Idaho,Kanye West,IND,102
Idaho,Blankenship,CST,56
Idaho,Fuente,ALI,37
Idaho,Trump,REP,37805
Idaho,Biden,DEM,14254
Idaho,Jorgensen,LIB,1288
Idaho,Kanye West,IND,259
Idaho,Blankenship,CST,113
Idaho,Fuente,ALI,90
Idaho,Trump,REP,4937
Idaho,Biden,DEM,1220
Idaho,Jorgensen,LIB,82
Idaho,Blankenship,CST,29
Idaho,Kanye West,IND,15
Idaho,Fuente,ALI,14
Idaho,Trump,REP,1202
Idaho,Biden,DEM,188
Idaho,Jorgensen,LIB,11
Idaho,Blankenship,CST,5
Idaho,Kanye West,IND,5
Idaho,Fuente,ALI,2
Idaho,Trump,REP,507
Idaho,Biden,DEM,149
Idaho,Blankenship,CST,83
Idaho,Jorgensen,LIB,7
Idaho,Kanye West,IND,3
Idaho,Fuente,ALI,2
Idaho,Trump,REP,61759
Idaho,Biden,DEM,25881
Idaho,Jorgensen,LIB,1696
Idaho,Kanye West,IND,342
Idaho,Fuente,ALI,230
Idaho,Blankenship,CST,197
Idaho,Trump,REP,2906
Idaho,Biden,DEM,431
Idaho,Jorgensen,LIB,41
Idaho,Blankenship,CST,11
Idaho,Kanye West,IND,10
Idaho,Fuente,ALI,5
Idaho,Trump,REP,7907
Idaho,Biden,DEM,1464
Idaho,Jorgensen,LIB,121
Idaho,Kanye West,IND,48
Idaho,Blankenship,CST,38
Idaho,Fuente,ALI,26
Idaho,Trump,REP,264
Idaho,Biden,DEM,41
Idaho,Jorgensen,LIB,4
Idaho,Kanye West,IND,1
Idaho,Blankenship,CST,0
Idaho,Fuente,ALI,0
Idaho,Trump,REP,3453
Idaho,Biden,DEM,877
Idaho,Jorgensen,LIB,47
Idaho,Kanye West,IND,12
Idaho,Blankenship,CST,9
Idaho,Fuente,ALI,5
Idaho,Trump,REP,2089
Idaho,Biden,DEM,603
Idaho,Jorgensen,LIB,17
Idaho,Kanye West,IND,12
Idaho,Blankenship,CST,4
Idaho,Fuente,ALI,2
Idaho,Trump,REP,7246
Idaho,Biden,DEM,2601
Idaho,Jorgensen,LIB,225
Idaho,Kanye West,IND,42
Idaho,Fuente,ALI,34
Idaho,Blankenship,CST,18
Idaho,Trump,REP,5845
Idaho,Biden,DEM,657
Idaho,Jorgensen,LIB,87
Idaho,Blankenship,CST,28
Idaho,Kanye West,IND,12
Idaho,Fuente,ALI,7
Idaho,Trump,REP,5548
Idaho,Biden,DEM,998
Idaho,Jorgensen,LIB,88
Idaho,Kanye West,IND,31
Idaho,Blankenship,CST,16
Idaho,Fuente,ALI,14
Idaho,Trump,REP,7951
Idaho,Biden,DEM,1803
Idaho,Jorgensen,LIB,121
Idaho,Kanye West,IND,30
Idaho,Fuente,ALI,15
Idaho,Blankenship,CST,14
Idaho,Trump,REP,4659
Idaho,Biden,DEM,1256
Idaho,Jorgensen,LIB,67
Idaho,Kanye West,IND,23
Idaho,Blankenship,CST,16
Idaho,Fuente,ALI,13
Idaho,Trump,REP,7826
Idaho,Biden,DEM,1561
Idaho,Jorgensen,LIB,118
Idaho,Blankenship,CST,25
Idaho,Kanye West,IND,23
Idaho,Fuente,ALI,14
Idaho,Trump,REP,12099
Idaho,Biden,DEM,1658
Idaho,Jorgensen,LIB,252
Idaho,Blankenship,CST,50
Idaho,Kanye West,IND,45
Idaho,Fuente,ALI,26
Idaho,Trump,REP,5734
Idaho,Biden,DEM,1893
Idaho,Jorgensen,LIB,100
Idaho,Kanye West,IND,35
Idaho,Blankenship,CST,17
Idaho,Fuente,ALI,10
Idaho,Trump,REP,62837
Idaho,Biden,DEM,24312
Idaho,Jorgensen,LIB,1594
Idaho,Kanye West,IND,268
Idaho,Blankenship,CST,144
Idaho,Fuente,ALI,117
Idaho,Biden,DEM,10199
Idaho,Trump,REP,9463
Idaho,Jorgensen,LIB,605
Idaho,Kanye West,IND,125
Idaho,Blankenship,CST,38
Idaho,Fuente,ALI,37
Idaho,Trump,REP,3592
Idaho,Biden,DEM,1032
Idaho,Jorgensen,LIB,78
Idaho,Kanye West,IND,10
Idaho,Fuente,ALI,8
Idaho,Blankenship,CST,7
Idaho,Trump,REP,1489
Idaho,Biden,DEM,349
Idaho,Jorgensen,LIB,16
Idaho,Blankenship,CST,7
Idaho,Kanye West,IND,3
Idaho,Fuente,ALI,2
Idaho,Trump,REP,1469
Idaho,Biden,DEM,414
Idaho,Jorgensen,LIB,21
Idaho,Kanye West,IND,14
Idaho,Blankenship,CST,6
Idaho,Fuente,ALI,4
Idaho,Trump,REP,13559
Idaho,Biden,DEM,2666
Idaho,Jorgensen,LIB,644
Idaho,Kanye West,IND,75
Idaho,Blankenship,CST,65
Idaho,Fuente,ALI,39
Idaho,Trump,REP,6265
Idaho,Biden,DEM,1550
Idaho,Jorgensen,LIB,87
Idaho,Kanye West,IND,43
Idaho,Fuente,ALI,18
Idaho,Blankenship,CST,11
Idaho,Trump,REP,13738
Idaho,Biden,DEM,6686
Idaho,Jorgensen,LIB,296
Idaho,Kanye West,IND,105
Idaho,Blankenship,CST,39
Idaho,Fuente,ALI,36
Idaho,Trump,REP,2148
Idaho,Biden,DEM,249
Idaho,Jorgensen,LIB,27
Idaho,Kanye West,IND,10
Idaho,Blankenship,CST,9
Idaho,Fuente,ALI,2
Idaho,Trump,REP,3819
Idaho,Biden,DEM,816
Idaho,Jorgensen,LIB,57
Idaho,Blankenship,CST,14
Idaho,Kanye West,IND,12
Idaho,Fuente,ALI,9
Idaho,Trump,REP,8862
Idaho,Biden,DEM,2161
Idaho,Jorgensen,LIB,166
Idaho,Kanye West,IND,33
Idaho,Blankenship,CST,22
Idaho,Fuente,ALI,14
Idaho,Trump,REP,2116
Idaho,Biden,DEM,865
Idaho,Jorgensen,LIB,41
Idaho,Kanye West,IND,14
Idaho,Blankenship,CST,13
Idaho,Fuente,ALI,10
Idaho,Trump,REP,4216
Idaho,Biden,DEM,1693
Idaho,Jorgensen,LIB,71
Idaho,Kanye West,IND,23
Idaho,Blankenship,CST,14
Idaho,Fuente,ALI,10
Idaho,Biden,DEM,3318
Idaho,Trump,REP,2858
Idaho,Jorgensen,LIB,109
Idaho,Kanye West,IND,39
Idaho,Fuente,ALI,5
Idaho,Blankenship,CST,1
Idaho,Trump,REP,25897
Idaho,Biden,DEM,9391
Idaho,Jorgensen,LIB,770
Idaho,Kanye West,IND,159
Idaho,Blankenship,CST,82
Idaho,Fuente,ALI,71
Idaho,Trump,REP,3947
Idaho,Biden,DEM,2976
Idaho,Jorgensen,LIB,73
Idaho,Kanye West,IND,30
Idaho,Fuente,ALI,9
Idaho,Blankenship,CST,7
Idaho,Trump,REP,4154
Idaho,Biden,DEM,1073
Idaho,Jorgensen,LIB,57
Idaho,Kanye West,IND,16
Idaho,Blankenship,CST,13
Idaho,Fuente,ALI,6
Illinois,Trump,REP,24131
Illinois,Biden,DEM,8569
Illinois,Jorgensen,LIB,473
Illinois,Hawkins,GRN,97
Illinois,Riva,PSL,23
Illinois,Trump,REP,3056
Illinois,Biden,DEM,2522
Illinois,Jorgensen,LIB,18
Illinois,Riva,PSL,16
Illinois,Hawkins,GRN,12
Illinois,Trump,REP,5612
Illinois,Biden,DEM,2275
Illinois,Jorgensen,LIB,152
Illinois,Hawkins,GRN,40
Illinois,Riva,PSL,10
Illinois,Trump,REP,13762
Illinois,Biden,DEM,10372
Illinois,Jorgensen,LIB,350
Illinois,Hawkins,GRN,141
Illinois,Riva,PSL,21
Illinois,Trump,REP,1930
Illinois,Biden,DEM,485
Illinois,Jorgensen,LIB,47
Illinois,Hawkins,GRN,10
Illinois,Riva,PSL,8
Illinois,Trump,REP,10296
Illinois,Biden,DEM,6545
Illinois,Jorgensen,LIB,202
Illinois,Hawkins,GRN,90
Illinois,Riva,PSL,12
Illinois,Trump,REP,2043
Illinois,Biden,DEM,674
Illinois,Jorgensen,LIB,36
Illinois,Hawkins,GRN,8
Illinois,Riva,PSL,1
Illinois,Trump,REP,5098
Illinois,Biden,DEM,2737
Illinois,Jorgensen,LIB,111
Illinois,Hawkins,GRN,39
Illinois,Riva,PSL,10
Illinois,Trump,REP,3624
Illinois,Biden,DEM,1615
Illinois,Jorgensen,LIB,50
Illinois,Hawkins,GRN,17
Illinois,Riva,PSL,4
Illinois,Biden,DEM,55173
Illinois,Trump,REP,34774
Illinois,Jorgensen,LIB,1444
Illinois,Hawkins,GRN,635
Illinois,Riva,PSL,226
Illinois,Trump,REP,11505
Illinois,Biden,DEM,4286
Illinois,Jorgensen,LIB,208
Illinois,Hawkins,GRN,65
Illinois,Riva,PSL,8
Illinois,Trump,REP,6215
Illinois,Biden,DEM,1990
Illinois,Jorgensen,LIB,95
Illinois,Hawkins,GRN,27
Illinois,Riva,PSL,5
Illinois,Trump,REP,5626
Illinois,Biden,DEM,1129
Illinois,Jorgensen,LIB,88
Illinois,Hawkins,GRN,26
Illinois,Riva,PSL,4
Illinois,Trump,REP,14264
Illinois,Biden,DEM,4459
Illinois,Jorgensen,LIB,258
Illinois,Hawkins,GRN,76
Illinois,Riva,PSL,15
Illinois,Trump,REP,13981
Illinois,Biden,DEM,7997
Illinois,Jorgensen,LIB,300
Illinois,Hawkins,GRN,130
Illinois,Riva,PSL,28
Illinois,Biden,DEM,1374757
Illinois,Trump,REP,483186
Illinois,Jorgensen,LIB,13474
Illinois,Hawkins,GRN,9344
Illinois,Riva,PSL,3300
Illinois,Trump,REP,7025
Illinois,Biden,DEM,2198
Illinois,Jorgensen,LIB,119
Illinois,Hawkins,GRN,43
Illinois,Riva,PSL,10
Illinois,Trump,REP,4595
Illinois,Biden,DEM,1141
Illinois,Jorgensen,LIB,63
Illinois,Hawkins,GRN,21
Illinois,Riva,PSL,1
Illinois,Biden,DEM,24484
Illinois,Trump,REP,21818
Illinois,Jorgensen,LIB,769
Illinois,Hawkins,GRN,327
Illinois,Riva,PSL,52
Illinois,Trump,REP,5623
Illinois,Biden,DEM,2171
Illinois,Jorgensen,LIB,138
Illinois,Hawkins,GRN,47
Illinois,Riva,PSL,3
Illinois,Trump,REP,6221
Illinois,Biden,DEM,2327
Illinois,Jorgensen,LIB,119
Illinois,Hawkins,GRN,43
Illinois,Riva,PSL,4
Illinois,Biden,DEM,269638
Illinois,Trump,REP,187957
Illinois,Jorgensen,LIB,5882
Illinois,Hawkins,GRN,2347
Illinois,Riva,PSL,354
Illinois,Trump,REP,6169
Illinois,Biden,DEM,1869
Illinois,Jorgensen,LIB,75
Illinois,Hawkins,GRN,27
Illinois,Riva,PSL,4
Illinois,Trump,REP,2833
Illinois,Biden,DEM,488
Illinois,Jorgensen,LIB,31
Illinois,Hawkins,GRN,9
Illinois,Riva,PSL,3
Illinois,Trump,REP,14983
Illinois,Biden,DEM,3700
Illinois,Jorgensen,LIB,230
Illinois,Hawkins,GRN,58
Illinois,Riva,PSL,9
Illinois,Trump,REP,8025
Illinois,Biden,DEM,1815
Illinois,Jorgensen,LIB,113
Illinois,Hawkins,GRN,36
Illinois,Riva,PSL,6
Illinois,Trump,REP,4956
Illinois,Biden,DEM,1691
Illinois,Jorgensen,LIB,99
Illinois,Hawkins,GRN,38
Illinois,Riva,PSL,2
Illinois,Trump,REP,13514
Illinois,Biden,DEM,4690
Illinois,Jorgensen,LIB,140
Illinois,Hawkins,GRN,80
Illinois,Riva,PSL,9
Illinois,Trump,REP,9798
Illinois,Biden,DEM,6371
Illinois,Jorgensen,LIB,176
Illinois,Hawkins,GRN,90
Illinois,Riva,PSL,15
Illinois,Trump,REP,2019
Illinois,Biden,DEM,621
Illinois,Jorgensen,LIB,18
Illinois,Hawkins,GRN,10
Illinois,Riva,PSL,2
Illinois,Trump,REP,4767
Illinois,Biden,DEM,1349
Illinois,Jorgensen,LIB,70
Illinois,Hawkins,GRN,21
Illinois,Riva,PSL,6
Illinois,Trump,REP,16372
Illinois,Biden,DEM,9445
Illinois,Jorgensen,LIB,344
Illinois,Hawkins,GRN,119
Illinois,Riva,PSL,25
Illinois,Trump,REP,3429
Illinois,Biden,DEM,821
Illinois,Jorgensen,LIB,40
Illinois,Hawkins,GRN,11
Illinois,Riva,PSL,4
Illinois,Trump,REP,5309
Illinois,Biden,DEM,1114
Illinois,Jorgensen,LIB,94
Illinois,Hawkins,GRN,27
Illinois,Riva,PSL,3
Illinois,Biden,DEM,0
Illinois,Trump,REP,0
Illinois,Hawkins,GRN,0
Illinois,Jorgensen,LIB,0
Illinois,Riva,PSL,0
Illinois,Trump,REP,2391
Illinois,Biden,DEM,1186
Illinois,Jorgensen,LIB,49
Illinois,Hawkins,GRN,11
Illinois,Riva,PSL,2
Illinois,Trump,REP,15266
Illinois,Biden,DEM,9762
Illinois,Jorgensen,LIB,364
Illinois,Hawkins,GRN,107
Illinois,Riva,PSL,17
Illinois,Trump,REP,10858
Illinois,Biden,DEM,2895
Illinois,Jorgensen,LIB,146
Illinois,Hawkins,GRN,64
Illinois,Riva,PSL,4
Illinois,Biden,DEM,11104
Illinois,Trump,REP,10835
Illinois,Jorgensen,LIB,306
Illinois,Hawkins,GRN,190
Illinois,Riva,PSL,33
Illinois,Trump,REP,4492
Illinois,Biden,DEM,1006
Illinois,Jorgensen,LIB,53
Illinois,Hawkins,GRN,17
Illinois,Riva,PSL,0
Illinois,Trump,REP,12461
Illinois,Biden,DEM,4597
Illinois,Jorgensen,LIB,213
Illinois,Hawkins,GRN,77
Illinois,Riva,PSL,13
Illinois,Trump,REP,8699
Illinois,Biden,DEM,2956
Illinois,Jorgensen,LIB,202
Illinois,Hawkins,GRN,45
Illinois,Riva,PSL,7
Illinois,Trump,REP,7161
Illinois,Biden,DEM,5097
Illinois,Jorgensen,LIB,124
Illinois,Hawkins,GRN,61
Illinois,Riva,PSL,18
Illinois,Trump,REP,5052
Illinois,Biden,DEM,1280
Illinois,Jorgensen,LIB,53
Illinois,Hawkins,GRN,37
Illinois,Riva,PSL,4
Illinois,Biden,DEM,130069
Illinois,Trump,REP,96739
Illinois,Jorgensen,LIB,2874
Illinois,Hawkins,GRN,1200
Illinois,Riva,PSL,298
Illinois,Trump,REP,28410
Illinois,Biden,DEM,20112
Illinois,Jorgensen,LIB,786
Illinois,Hawkins,GRN,185
Illinois,Riva,PSL,44
Illinois,Biden,DEM,31394
Illinois,Trump,REP,28515
Illinois,Jorgensen,LIB,749
Illinois,Hawkins,GRN,312
Illinois,Riva,PSL,60
Illinois,Trump,REP,11818
Illinois,Biden,DEM,10421
Illinois,Jorgensen,LIB,249
Illinois,Hawkins,GRN,112
Illinois,Riva,PSL,32
Illinois,Biden,DEM,144674
Illinois,Trump,REP,105416
Illinois,Jorgensen,LIB,3042
Illinois,Hawkins,GRN,1042
Illinois,Riva,PSL,285
Illinois,Trump,REP,29482
Illinois,Biden,DEM,21491
Illinois,Jorgensen,LIB,643
Illinois,Hawkins,GRN,242
Illinois,Riva,PSL,53
Illinois,Trump,REP,4849
Illinois,Biden,DEM,1414
Illinois,Jorgensen,LIB,82
Illinois,Hawkins,GRN,18
Illinois,Riva,PSL,3
Illinois,Trump,REP,9584
Illinois,Biden,DEM,6368
Illinois,Jorgensen,LIB,225
Illinois,Hawkins,GRN,97
Illinois,Riva,PSL,12
Illinois,Trump,REP,12134
Illinois,Biden,DEM,4568
Illinois,Jorgensen,LIB,243
Illinois,Hawkins,GRN,72
Illinois,Riva,PSL,12
Illinois,Trump,REP,9042
Illinois,Biden,DEM,3769
Illinois,Jorgensen,LIB,204
Illinois,Hawkins,GRN,64
Illinois,Riva,PSL,14
Illinois,Trump,REP,7009
Illinois,Biden,DEM,4973
Illinois,Jorgensen,LIB,173
Illinois,Hawkins,GRN,54
Illinois,Riva,PSL,20
Illinois,Trump,REP,79396
Illinois,Biden,DEM,73610
Illinois,Jorgensen,LIB,1988
Illinois,Hawkins,GRN,704
Illinois,Riva,PSL,195
Illinois,Biden,DEM,43719
Illinois,Trump,REP,40365
Illinois,Jorgensen,LIB,1610
Illinois,Hawkins,GRN,500
Illinois,Riva,PSL,155
Illinois,Trump,REP,28373
Illinois,Biden,DEM,19633
Illinois,Jorgensen,LIB,587
Illinois,Hawkins,GRN,204
Illinois,Riva,PSL,55
Illinois,Trump,REP,16058
Illinois,Biden,DEM,7313
Illinois,Jorgensen,LIB,346
Illinois,Hawkins,GRN,110
Illinois,Riva,PSL,20
Illinois,Trump,REP,75727
Illinois,Biden,DEM,56845
Illinois,Jorgensen,LIB,2098
Illinois,Hawkins,GRN,683
Illinois,Riva,PSL,179
Illinois,Trump,REP,12540
Illinois,Biden,DEM,4396
Illinois,Jorgensen,LIB,154
Illinois,Hawkins,GRN,73
Illinois,Riva,PSL,10
Illinois,Trump,REP,4196
Illinois,Biden,DEM,2004
Illinois,Jorgensen,LIB,94
Illinois,Hawkins,GRN,27
Illinois,Riva,PSL,5
Illinois,Trump,REP,4645
Illinois,Biden,DEM,1984
Illinois,Jorgensen,LIB,78
Illinois,Hawkins,GRN,31
Illinois,Riva,PSL,11
Illinois,Trump,REP,4989
Illinois,Biden,DEM,1719
Illinois,Jorgensen,LIB,64
Illinois,Hawkins,GRN,14
Illinois,Riva,PSL,5
Illinois,Trump,REP,4722
Illinois,Biden,DEM,2003
Illinois,Jorgensen,LIB,93
Illinois,Hawkins,GRN,32
Illinois,Riva,PSL,8
Illinois,Trump,REP,5328
Illinois,Biden,DEM,3212
Illinois,Jorgensen,LIB,131
Illinois,Hawkins,GRN,46
Illinois,Riva,PSL,8
Illinois,Trump,REP,14046
Illinois,Biden,DEM,6489
Illinois,Jorgensen,LIB,305
Illinois,Hawkins,GRN,82
Illinois,Riva,PSL,17
Illinois,Trump,REP,9504
Illinois,Biden,DEM,3889
Illinois,Jorgensen,LIB,201
Illinois,Hawkins,GRN,53
Illinois,Riva,PSL,6
Illinois,Trump,REP,9903
Illinois,Biden,DEM,5020
Illinois,Jorgensen,LIB,198
Illinois,Hawkins,GRN,55
Illinois,Riva,PSL,15
Illinois,Trump,REP,4938
Illinois,Biden,DEM,1645
Illinois,Jorgensen,LIB,84
Illinois,Hawkins,GRN,24
Illinois,Riva,PSL,3
Illinois,Trump,REP,16092
Illinois,Biden,DEM,9300
Illinois,Jorgensen,LIB,378
Illinois,Hawkins,GRN,142
Illinois,Riva,PSL,23
Illinois,Biden,DEM,42600
Illinois,Trump,REP,37612
Illinois,Jorgensen,LIB,1256
Illinois,Hawkins,GRN,486
Illinois,Riva,PSL,99
Illinois,Trump,REP,7305
Illinois,Biden,DEM,2609
Illinois,Jorgensen,LIB,69
Illinois,Hawkins,GRN,52
Illinois,Riva,PSL,4
Illinois,Trump,REP,6219
Illinois,Biden,DEM,3302
Illinois,Jorgensen,LIB,165
Illinois,Hawkins,GRN,34
Illinois,Riva,PSL,14
Illinois,Trump,REP,6235
Illinois,Biden,DEM,1458
Illinois,Jorgensen,LIB,104
Illinois,Hawkins,GRN,15
Illinois,Riva,PSL,4
Illinois,Trump,REP,1720
Illinois,Biden,DEM,432
Illinois,Jorgensen,LIB,16
Illinois,Hawkins,GRN,4
Illinois,Riva,PSL,0
Illinois,Trump,REP,1699
Illinois,Biden,DEM,891
Illinois,Jorgensen,LIB,23
Illinois,Hawkins,GRN,7
Illinois,Riva,PSL,0
Illinois,Trump,REP,1978
Illinois,Biden,DEM,1309
Illinois,Jorgensen,LIB,33
Illinois,Hawkins,GRN,16
Illinois,Riva,PSL,2
Illinois,Trump,REP,11065
Illinois,Biden,DEM,3590
Illinois,Jorgensen,LIB,131
Illinois,Hawkins,GRN,69
Illinois,Riva,PSL,5
Illinois,Trump,REP,7988
Illinois,Biden,DEM,1355
Illinois,Hawkins,GRN,0
Illinois,Jorgensen,LIB,0
Illinois,Riva,PSL,0
Illinois,Biden,DEM,36647
Illinois,Trump,REP,28585
Illinois,Jorgensen,LIB,957
Illinois,Hawkins,GRN,308
Illinois,Riva,PSL,87
Illinois,Biden,DEM,66698
Illinois,Trump,REP,56000
Illinois,Jorgensen,LIB,1554
Illinois,Hawkins,GRN,638
Illinois,Riva,PSL,145
Illinois,Trump,REP,8096
Illinois,Biden,DEM,2786
Illinois,Jorgensen,LIB,124
Illinois,Hawkins,GRN,35
Illinois,Riva,PSL,11
Illinois,Trump,REP,53303
Illinois,Biden,DEM,48756
Illinois,Jorgensen,LIB,1439
Illinois,Hawkins,GRN,619
Illinois,Riva,PSL,114
Illinois,Trump,REP,2767
Illinois,Biden,DEM,1064
Illinois,Jorgensen,LIB,48
Illinois,Hawkins,GRN,12
Illinois,Riva,PSL,2
Illinois,Trump,REP,2104
Illinois,Biden,DEM,569
Illinois,Jorgensen,LIB,31
Illinois,Hawkins,GRN,11
Illinois,Riva,PSL,5
Illinois,Trump,REP,9396
Illinois,Biden,DEM,2488
Illinois,Jorgensen,LIB,109
Illinois,Hawkins,GRN,44
Illinois,Riva,PSL,5
Illinois,Trump,REP,2000
Illinois,Biden,DEM,814
Illinois,Jorgensen,LIB,42
Illinois,Hawkins,GRN,17
Illinois,Riva,PSL,2
Illinois,Trump,REP,12253
Illinois,Biden,DEM,8756
Illinois,Jorgensen,LIB,310
Illinois,Hawkins,GRN,82
Illinois,Riva,PSL,19
Illinois,Trump,REP,42194
Illinois,Biden,DEM,24486
Illinois,Jorgensen,LIB,1149
Illinois,Hawkins,GRN,335
Illinois,Riva,PSL,51
Illinois,Trump,REP,6157
Illinois,Biden,DEM,2575
Illinois,Jorgensen,LIB,89
Illinois,Hawkins,GRN,32
Illinois,Riva,PSL,11
Illinois,Trump,REP,20710
Illinois,Biden,DEM,10313
Illinois,Jorgensen,LIB,350
Illinois,Hawkins,GRN,127
Illinois,Riva,PSL,20
Illinois,Trump,REP,4228
Illinois,Biden,DEM,1248
Illinois,Jorgensen,LIB,77
Illinois,Hawkins,GRN,14
